,Дата,Brent_prices,ACWI_indexes,Dow_Jones_indexes,DXY_indexes,FTSE_100_indexes,MOEX_indexes,RTS_indexes,SPX_indexes,USD_RUB_rates
0,01.02.2010,73.11,40.79,10185.53,79.420,5247.40,1417.00,1470.79,1089.19,30.2950
1,02.02.2010,76.06,41.45,10296.85,79.180,5283.30,1436.63,1498.75,1103.32,30.0750
2,03.02.2010,75.92,41.10,10270.55,79.550,5253.10,1431.08,1507.15,1097.28,29.9945
3,04.02.2010,72.13,39.61,10002.18,80.075,5139.30,1395.87,1463.01,1063.11,30.1750
4,05.02.2010,69.59,39.49,10012.23,80.595,5060.90,1355.64,1411.14,1066.19,30.3655
5,08.02.2010,70.11,39.19,9908.39,80.440,5092.30,1322.15,1375.34,1056.74,30.5305
6,09.02.2010,72.13,39.99,10058.64,79.990,5111.80,1338.16,1390.32,1070.52,30.3425
7,10.02.2010,72.54,39.98,10038.38,80.140,5132.00,1327.24,1387.11,1068.13,30.3091
8,11.02.2010,73.05,40.37,10144.19,80.100,5161.50,1329.35,1391.94,1078.47,30.1439
9,12.02.2010,72.90,40.18,10099.14,80.410,5142.50,1304.86,1363.83,1075.51,30.2120
10,16.02.2010,75.68,41.02,10268.81,79.755,5244.10,1361.49,1418.16,1094.87,30.0067
11,17.02.2010,76.27,41.12,10309.24,80.475,5276.60,1354.09,1421.97,1099.51,30.1232
12,18.02.2010,77.78,41.33,10392.90,80.465,5325.10,1338.77,1410.85,1106.75,30.0383
13,19.02.2010,78.19,41.18,10402.35,80.720,5358.20,1353.75,1423.13,1109.17,29.9647
14,24.02.2010,78.09,40.97,10374.16,80.915,5342.90,1334.53,1401.48,1105.24,30.0150
15,25.02.2010,76.29,40.70,10321.03,80.860,5278.20,1306.46,1373.11,1102.94,30.0124
16,26.02.2010,77.59,40.92,10325.26,80.440,5354.50,1323.72,1390.25,1104.49,29.9350
17,01.03.2010,76.89,41.49,10403.79,80.705,5405.90,1356.27,1429.77,1115.71,29.9651
18,02.03.2010,78.18,41.64,10405.98,80.575,5484.10,1368.09,1445.62,1118.31,29.9863
19,03.03.2010,79.25,41.90,10396.76,80.020,5533.20,1379.32,1460.20,1118.79,29.7710
20,04.03.2010,78.54,41.77,10444.14,80.585,5527.20,1384.44,1470.41,1122.97,29.8215
21,05.03.2010,79.89,42.61,10566.20,80.460,5599.80,1414.37,1508.21,1138.70,29.8413
22,09.03.2010,79.91,42.51,10564.38,80.605,5602.30,1412.55,1502.70,1140.45,29.7360
23,10.03.2010,80.48,42.68,10567.33,80.465,5640.60,1402.35,1501.40,1145.61,29.5570
24,11.03.2010,80.28,42.90,10611.84,80.315,5617.30,1395.91,1504.04,1150.24,29.4560
25,12.03.2010,79.39,43.05,10624.69,79.840,5625.60,1415.75,1534.68,1149.99,29.2910
26,15.03.2010,77.89,42.93,10642.15,80.175,5593.90,1400.19,1514.40,1150.51,29.4240
27,16.03.2010,79.02,43.36,10685.98,79.995,5620.40,1420.76,1536.79,1159.46,29.2830
28,17.03.2010,81.96,43.68,10733.67,79.850,5644.60,1435.31,1563.46,1166.21,29.1740
29,18.03.2010,81.48,43.41,10779.17,80.440,5642.60,1433.45,1558.80,1165.83,29.3060
30,19.03.2010,79.88,43.05,10741.98,80.975,5650.10,1421.09,1544.71,1159.90,29.3400
31,22.03.2010,80.54,43.22,10785.89,80.883,5644.50,1417.55,1525.59,1165.81,29.5290
32,23.03.2010,80.70,43.50,10888.83,81.118,5673.60,1410.61,1524.96,1174.17,29.5410
33,24.03.2010,79.62,42.97,10836.15,82.106,5677.90,1404.77,1514.58,1167.72,29.7010
34,25.03.2010,79.61,42.95,10841.21,82.405,5727.60,1406.66,1515.04,1165.73,29.6070
35,26.03.2010,79.29,43.18,10850.36,81.978,5703.00,1415.54,1519.87,1166.59,29.5960
36,29.03.2010,81.17,43.63,10895.86,81.624,5710.70,1440.20,1551.57,1173.22,29.4860
37,30.03.2010,81.28,43.68,10907.42,81.738,5672.30,1443.81,1562.29,1173.27,29.5100
38,31.03.2010,82.70,43.51,10856.63,81.291,5679.60,1450.15,1572.48,1169.43,29.4340
39,01.04.2010,84.01,44.13,10927.07,80.972,5744.90,1479.66,1608.39,1178.10,29.2550
40,06.04.2010,86.15,44.52,10969.99,81.570,5780.40,1498.64,1633.32,1189.44,29.3250
41,07.04.2010,85.59,44.20,10897.52,81.612,5762.10,1478.44,1613.88,1182.45,29.3220
42,08.04.2010,84.81,44.33,10927.07,81.701,5712.70,1476.59,1600.84,1186.44,29.4170
43,09.04.2010,84.83,44.68,10997.35,81.241,5771.00,1496.88,1631.81,1194.37,29.1350
44,12.04.2010,84.77,44.76,11005.97,80.692,5777.60,1502.66,1648.43,1196.48,29.0160
45,13.04.2010,84.72,44.65,11019.42,80.625,5761.70,1499.34,1643.98,1197.30,29.0440
46,14.04.2010,86.15,45.29,11123.11,80.291,5796.30,1526.61,1673.41,1210.65,28.9470
47,15.04.2010,87.17,45.12,11144.57,80.585,5825.00,1530.93,1676.27,1211.67,28.9990
48,16.04.2010,85.99,44.34,11018.66,80.944,5744.00,1495.08,1642.57,1192.13,29.0700
49,19.04.2010,84.23,44.26,11092.05,81.105,5727.90,1459.17,1601.67,1197.52,29.1380
50,20.04.2010,84.80,44.76,11117.06,81.141,5783.70,1473.92,1619.43,1207.17,29.1450
51,21.04.2010,85.70,44.50,11124.92,81.266,5723.40,1465.87,1610.23,1205.94,29.1350
52,22.04.2010,85.67,44.54,11134.29,81.682,5665.30,1443.36,1583.54,1208.67,29.2593
53,23.04.2010,87.25,44.93,11204.28,81.498,5723.60,1467.62,1602.99,1217.28,29.1155
54,26.04.2010,86.83,44.68,11205.03,81.615,5753.90,1484.26,1626.10,1212.05,29.0480
55,27.04.2010,85.78,43.42,10991.99,82.310,5603.50,1464.17,1603.59,1183.71,29.3565
56,28.04.2010,86.16,43.51,11045.27,82.535,5586.60,1430.28,1563.10,1191.36,29.3445
57,29.04.2010,86.90,44.14,11167.32,82.161,5617.80,1455.14,1588.75,1206.78,29.2330
58,30.04.2010,87.44,43.41,11008.61,81.991,5553.30,1436.04,1572.84,1186.69,29.2150
59,04.05.2010,85.67,42.48,10926.77,83.421,5411.10,1393.07,1517.83,1173.60,29.5947
60,05.05.2010,82.61,41.66,10868.12,84.200,5341.90,1378.43,1464.65,1165.87,30.0456
61,06.05.2010,79.83,40.30,10520.32,85.047,5261.00,1365.13,1450.47,1128.15,30.7190
62,07.05.2010,78.27,39.75,10380.43,84.659,5123.00,1288.61,1369.91,1110.88,30.4993
63,11.05.2010,80.49,41.66,10748.26,84.613,5334.20,1334.15,1420.54,1155.79,30.2220
64,12.05.2010,81.20,42.29,10896.91,84.967,5383.50,1391.87,1485.36,1171.67,30.0230
65,13.05.2010,80.11,41.90,10782.95,85.342,5433.70,1378.70,1476.03,1157.44,29.9998
66,14.05.2010,77.18,40.95,10620.16,86.231,5262.90,1352.01,1441.68,1135.68,30.3550
67,17.05.2010,75.10,40.97,10625.83,86.377,5262.50,1357.26,1422.72,1136.94,30.5385
68,18.05.2010,74.43,40.25,10510.95,87.315,5307.30,1362.32,1438.94,1120.80,30.5015
69,19.05.2010,73.69,40.13,10444.37,86.540,5158.10,1320.90,1379.88,1115.05,30.4955
70,20.05.2010,71.84,38.49,10068.01,85.706,5073.10,1263.99,1303.24,1071.59,31.4335
71,21.05.2010,71.68,39.28,10193.39,85.537,5062.90,1264.91,1297.91,1087.69,31.0950
72,24.05.2010,71.17,38.61,10066.57,86.337,5069.60,1269.37,1311.70,1073.65,31.0540
73,25.05.2010,69.55,38.52,10043.75,86.888,4940.70,1197.39,1226.57,1074.03,31.4445
74,26.05.2010,71.74,38.23,9974.45,87.244,5038.10,1265.18,1305.25,1067.95,31.1900
75,27.05.2010,74.66,39.90,10258.99,86.282,5195.20,1305.99,1358.60,1103.06,30.6550
76,28.05.2010,74.02,39.34,10136.63,86.582,5188.40,1309.09,1366.90,1089.41,30.6539
77,01.06.2010,72.71,38.80,10024.02,86.725,5163.30,1325.49,1373.87,1070.71,31.2077
78,02.06.2010,73.75,40.00,10249.54,86.877,5151.30,1341.24,1383.87,1098.38,31.1653
79,03.06.2010,75.41,40.00,10255.28,87.214,5211.20,1350.48,1393.12,1102.83,31.1650
80,04.06.2010,72.09,38.43,9931.97,88.315,5126.00,1333.49,1360.74,1064.88,31.5150
81,07.06.2010,72.12,37.90,9816.49,88.463,5069.10,1322.00,1340.82,1050.47,31.7225
82,08.06.2010,72.30,38.48,9939.98,88.473,5028.10,1301.41,1315.61,1062.00,31.8100
83,09.06.2010,74.27,38.35,9899.25,87.935,5085.90,1315.13,1334.55,1055.69,31.6863
84,10.06.2010,75.29,39.62,10172.53,87.166,5132.50,1340.09,1358.94,1086.84,31.6575
85,11.06.2010,74.35,39.76,10211.07,87.517,5163.70,1336.09,1356.79,1091.60,31.6075
86,15.06.2010,76.20,40.80,10404.77,86.290,5217.80,1371.31,1396.57,1115.23,31.2800
87,16.06.2010,78.14,40.79,10409.46,86.386,5237.90,1369.59,1401.63,1114.61,31.2180
