"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"21.04.2020","65,28","65,48","65,92","65,28","609,46K","-2,30%"
"20.04.2020","66,82","66,81","67,75","66,67","5,00M","-1,46%"
"17.04.2020","67,81","67,59","67,88","66,90","5,65M","2,73%"
"16.04.2020","66,01","66,06","66,23","65,33","2,94M","0,43%"
"15.04.2020","65,73","65,74","66,18","65,37","4,63M","-2,49%"
"14.04.2020","67,41","66,92","67,63","66,79","3,17M","2,57%"
"13.04.2020","65,72","65,99","66,17","64,92","5,53M","-0,80%"
"09.04.2020","66,25","66,17","66,93","65,72","5,73M","1,45%"
"08.04.2020","65,30","64,34","65,54","63,74","6,04M","2,42%"
"07.04.2020","63,76","65,88","65,99","63,75","3,95M","0,11%"
"06.04.2020","63,69","62,12","63,98","61,97","4,58M","6,17%"
"03.04.2020","59,99","60,59","60,97","59,36","3,18M","-1,49%"
"02.04.2020","60,90","59,59","61,21","59,49","4,06M","2,01%"
"01.04.2020","59,70","60,12","60,92","59,30","4,06M","-4,59%"
"31.03.2020","62,57","62,61","63,39","61,89","9,65M","-0,75%"
"30.03.2020","63,04","61,80","63,12","61,30","6,09M","2,20%"
"27.03.2020","61,68","61,19","62,86","60,84","5,64M","-2,93%"
"26.03.2020","63,54","61,08","63,76","61,02","13,23M","5,27%"
"25.03.2020","60,36","59,42","62,13","58,53","14,63M","2,74%"
"24.03.2020","58,75","57,64","59,11","57,26","5,11M","8,14%"
"23.03.2020","54,33","55,18","55,52","53,31","8,16M","-1,77%"
"20.03.2020","55,31","58,10","58,74","55,30","6,48M","-3,17%"
"19.03.2020","57,12","56,31","58,33","55,17","9,17M","0,63%"
"18.03.2020","56,76","56,34","57,84","54,17","9,23M","-6,01%"
"17.03.2020","60,39","58,09","60,44","56,60","8,58M","6,25%"
"16.03.2020","56,84","53,80","60,34","53,80","6,97M","-11,22%"
"13.03.2020","64,02","63,29","64,84","59,85","10,08M","7,16%"
"12.03.2020","59,74","61,31","63,00","59,50","10,36M","-9,83%"
"11.03.2020","66,25","67,92","68,12","65,63","7,04M","-5,17%"
"10.03.2020","69,86","69,21","69,86","66,81","6,15M","4,60%"
"09.03.2020","66,79","67,29","68,89","66,55","15,53M","-7,53%"
"06.03.2020","72,23","71,50","72,60","71,07","4,59M","-1,78%"
"05.03.2020","73,54","73,99","74,79","73,12","3,21M","-3,06%"
"04.03.2020","75,86","74,52","75,86","73,98","3,89M","4,10%"
"03.03.2020","72,87","74,85","75,93","72,66","6,98M","-2,38%"
"02.03.2020","74,65","72,62","74,71","71,99","7,88M","3,31%"
"28.02.2020","72,26","70,81","72,37","70,17","7,47M","-1,05%"
"27.02.2020","73,03","74,38","75,23","72,84","10,06M","-3,50%"
"26.02.2020","75,68","76,26","77,02","75,55","7,02M","0,09%"
"25.02.2020","75,61","77,96","78,14","75,61","7,90M","-2,56%"
"24.02.2020","77,60","77,47","78,22","77,43","8,36M","-3,43%"
"21.02.2020","80,36","80,76","80,76","80,18","2,49M","-0,78%"
"20.02.2020","80,99","81,20","81,42","80,39","2,42M","-0,58%"
"19.02.2020","81,46","81,40","81,61","81,36","2,22M","0,42%"
"18.02.2020","81,12","81,07","81,20","80,83","2,04M","-0,39%"
