"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"23.04.2020","1.089,27","1.079,15","1.091,15","1.071,39","-","2,18%"
"22.04.2020","1.066,01","1.011,38","1.071,80","1.006,96","-","5,32%"
"21.04.2020","1.012,15","1.037,69","1.037,89","991,49","-","-5,26%"
"20.04.2020","1.068,32","1.075,22","1.079,75","1.055,71","-","-0,96%"
"17.04.2020","1.078,69","1.083,27","1.092,54","1.068,93","-","1,10%"
"16.04.2020","1.066,91","1.057,13","1.087,80","1.036,95","-","1,91%"
"15.04.2020","1.046,88","1.129,49","1.129,49","1.045,13","-","-7,62%"
"14.04.2020","1.133,23","1.133,95","1.151,65","1.127,19","-","0,73%"
"13.04.2020","1.124,97","1.142,90","1.148,58","1.118,87","-","-1,50%"
"10.04.2020","1.142,07","1.136,22","1.148,60","1.127,84","-","-1,16%"
"09.04.2020","1.155,49","1.132,27","1.170,27","1.119,82","-","3,67%"
"08.04.2020","1.114,60","1.091,53","1.114,60","1.083,50","-","1,35%"
"07.04.2020","1.099,76","1.097,82","1.122,88","1.087,08","-","1,51%"
"06.04.2020","1.083,43","1.069,66","1.090,81","1.059,31","-","3,20%"
"03.04.2020","1.049,88","1.038,92","1.070,42","1.030,64","-","1,53%"
"02.04.2020","1.034,06","1.011,80","1.038,20","983,63","-","4,69%"
"01.04.2020","987,75","990,15","995,18","977,48","-","-2,63%"
"31.03.2020","1.014,44","979,27","1.014,51","979,27","-","5,83%"
"30.03.2020","958,54","950,20","962,60","926,80","-","0,33%"
"27.03.2020","955,34","1.013,15","1.015,89","945,28","-","-6,07%"
"26.03.2020","1.017,03","986,43","1.022,02","959,31","-","3,60%"
"25.03.2020","981,69","989,49","1.027,62","943,02","-","1,70%"
"24.03.2020","965,32","929,89","978,23","929,89","-","9,23%"
"23.03.2020","883,78","889,95","916,92","860,74","-","-4,38%"
"20.03.2020","924,22","926,19","980,21","913,69","-","2,39%"
"19.03.2020","902,63","831,46","908,75","808,79","-","8,46%"
"18.03.2020","832,26","915,71","915,74","827,52","-","-10,96%"
"17.03.2020","934,66","955,12","985,24","909,92","-","-3,34%"
"16.03.2020","966,93","996,53","998,33","910,66","-","-2,50%"
"13.03.2020","991,69","958,29","1.055,49","957,19","-","2,62%"
"12.03.2020","966,40","1.042,20","1.042,20","953,64","-","-11,03%"
"11.03.2020","1.086,18","1.117,85","1.130,62","1.076,54","-","-0,73%"
"10.03.2020","1.094,18","1.149,81","1.182,08","1.055,31","-","-13,02%"
"06.03.2020","1.257,96","1.291,47","1.300,61","1.238,53","-","-4,97%"
"05.03.2020","1.323,82","1.356,00","1.363,73","1.319,15","-","-1,81%"
"04.03.2020","1.348,19","1.336,30","1.364,55","1.326,90","-","-0,72%"
"03.03.2020","1.358,03","1.336,10","1.360,28","1.320,51","-","4,19%"
"02.03.2020","1.303,47","1.332,74","1.368,63","1.275,17","-","0,29%"
"28.02.2020","1.299,69","1.359,93","1.362,43","1.279,74","-","-6,24%"
"27.02.2020","1.386,20","1.438,28","1.444,05","1.381,02","-","-5,13%"
"26.02.2020","1.461,22","1.442,87","1.464,34","1.419,26","-","1,04%"
"25.02.2020","1.446,11","1.504,06","1.506,85","1.445,76","-","-5,16%"
"21.02.2020","1.524,71","1.525,88","1.531,62","1.515,45","-","-0,72%"
"20.02.2020","1.535,81","1.546,35","1.552,04","1.535,81","-","-0,41%"
"19.02.2020","1.542,08","1.525,01","1.544,62","1.525,01","-","1,75%"
"18.02.2020","1.515,54","1.540,60","1.540,95","1.510,82","-","-1,80%"
"17.02.2020","1.543,25","1.535,16","1.546,87","1.535,16","-","0,54%"
"14.02.2020","1.534,89","1.541,28","1.550,12","1.528,22","-","-0,56%"
"13.02.2020","1.543,50","1.553,32","1.554,20","1.530,79","-","-0,90%"
"12.02.2020","1.557,44","1.542,81","1.557,93","1.541,14","-","1,16%"
"11.02.2020","1.539,56","1.509,16","1.548,27","1.509,16","-","2,37%"
"10.02.2020","1.503,95","1.517,68","1.530,04","1.495,20","-","-0,94%"
"07.02.2020","1.518,23","1.542,11","1.547,97","1.506,25","-","-1,38%"
"06.02.2020","1.539,42","1.569,33","1.579,09","1.533,83","-","-1,35%"
"05.02.2020","1.560,48","1.550,18","1.579,60","1.538,23","-","0,86%"
"04.02.2020","1.547,19","1.523,91","1.550,22","1.523,84","-","1,71%"
"03.02.2020","1.521,16","1.509,20","1.530,86","1.507,30","-","0,27%"
"31.01.2020","1.517,07","1.559,98","1.568,82","1.517,07","-","-1,78%"
"30.01.2020","1.544,55","1.565,60","1.565,78","1.544,55","-","-1,66%"
"29.01.2020","1.570,65","1.581,07","1.584,26","1.563,89","-","-0,10%"
"28.01.2020","1.572,23","1.549,47","1.572,73","1.531,60","-","1,97%"
"27.01.2020","1.541,90","1.584,97","1.584,97","1.541,90","-","-3,62%"
"24.01.2020","1.599,82","1.601,66","1.614,68","1.597,16","-","0,23%"
"23.01.2020","1.596,11","1.611,12","1.614,98","1.593,81","-","-1,04%"
"22.01.2020","1.612,87","1.635,64","1.643,19","1.612,87","-","-1,31%"
"21.01.2020","1.634,32","1.644,18","1.644,18","1.622,58","-","-0,75%"
"20.01.2020","1.646,60","1.640,50","1.651,82","1.640,39","-","0,54%"
"17.01.2020","1.637,75","1.615,15","1.641,82","1.614,90","-","1,55%"
"16.01.2020","1.612,72","1.608,93","1.618,10","1.608,64","-","0,65%"
"15.01.2020","1.602,29","1.604,03","1.615,64","1.588,73","-","-0,17%"
"14.01.2020","1.604,96","1.622,41","1.625,61","1.602,03","-","-0,91%"
"13.01.2020","1.619,73","1.612,38","1.620,17","1.608,53","-","0,31%"
"10.01.2020","1.614,69","1.602,40","1.614,69","1.594,01","-","0,81%"
"09.01.2020","1.601,74","1.597,24","1.607,28","1.590,77","-","0,80%"
"08.01.2020","1.589,08","1.567,72","1.590,21","1.563,18","-","1,32%"
"06.01.2020","1.568,35","1.560,36","1.568,35","1.549,52","-","0,27%"
"03.01.2020","1.564,18","1.554,72","1.567,86","1.553,80","-","0,99%"
"30.12.2019","1.548,92","1.549,59","1.558,24","1.545,30","-","-0,03%"
"27.12.2019","1.549,40","1.533,81","1.552,73","1.533,81","-","0,95%"
"26.12.2019","1.534,85","1.541,05","1.546,50","1.533,76","-","-0,60%"
"25.12.2019","1.544,12","1.541,59","1.549,88","1.541,31","-","0,24%"
"24.12.2019","1.540,46","1.535,88","1.541,87","1.534,78","-","0,36%"
"23.12.2019","1.535,00","1.522,85","1.535,00","1.522,04","-","0,74%"
"20.12.2019","1.523,77","1.522,10","1.530,86","1.519,02","-","0,28%"
"19.12.2019","1.519,49","1.514,40","1.526,48","1.511,06","-","-0,20%"
"18.12.2019","1.522,51","1.520,18","1.524,62","1.511,66","-","0,13%"
"17.12.2019","1.520,60","1.519,79","1.521,77","1.512,80","-","0,23%"
"16.12.2019","1.517,16","1.504,04","1.520,70","1.502,79","-","1,05%"
"13.12.2019","1.501,42","1.499,36","1.515,14","1.496,94","-","0,30%"
"12.12.2019","1.496,96","1.476,90","1.502,81","1.476,33","-","2,31%"
"11.12.2019","1.463,15","1.454,75","1.466,70","1.453,58","-","0,61%"
"10.12.2019","1.454,23","1.458,08","1.460,92","1.446,14","-","-0,18%"
"09.12.2019","1.456,79","1.448,82","1.458,90","1.445,55","-","0,58%"
"06.12.2019","1.448,34","1.433,89","1.448,65","1.431,47","-","1,25%"
"05.12.2019","1.430,39","1.430,44","1.434,16","1.421,35","-","0,03%"
"04.12.2019","1.430,03","1.417,91","1.433,56","1.410,61","-","1,13%"
"03.12.2019","1.414,06","1.432,13","1.435,81","1.414,06","-","-1,31%"
"02.12.2019","1.432,81","1.438,81","1.448,98","1.432,24","-","-0,39%"
